NAME_EN,LATITUDE,LONGITUDE,CO_NAME
Granard,53.8013901592,-7.5608950878,Longford
Duhallow,52.1787206051,-8.9793789508,Cork
Condons and Clangibbon,52.2148064435,-8.2558544001,Cork
Farney,53.997504439,-6.7244192697,Monaghan
Duleek Upper,53.6254248259,-6.3372372032,Meath
Fassadinin,52.7924349885,-7.2232849075,Kilkenny
Moycullen,53.3538508679,-9.4063470946,Galway
Farbill,53.5027227456,-7.140990295,Westmeath
Coshma,52.4741308745,-8.666366699,Limerick
Athlone South,53.4760211558,-8.109209643,
Ballintober South,53.6648561963,-8.1361595532,Roscommon
Geashill,53.238471094,-7.4222956843,Offaly
Philipstown Upper,53.2032061814,-7.243454969,Offaly
Connell,53.2215461103,-6.8195223795,Kildare
Uppercross,53.2745736613,-6.3559887473,Dublin
Kilkea and Moone,52.9356429516,-6.852821425,Kildare
Ballaghkeen North,52.5641612029,-6.3018169239,Wexford
Dufferin,54.4335679918,-5.6874753497,Down
Salt North,53.3567849535,-6.5796753733,Kildare
Ballycowan,53.2863355608,-7.5697284498,Offaly
Shelmaliere West,52.336547898,-6.6749639823,Wexford
Tullyhunco,53.9770790557,-7.5512904454,Cavan
Loughtee Upper,53.9773099715,-7.3135460369,Cavan
Forth,52.7145776346,-6.7585877469,Carlow
Strabane Upper,54.7179374952,-7.1645693277,Tyrone
Dundalk Upper,54.010679326,-6.4556129721,Louth
Boyle,53.9919091751,-8.2057404747,Roscommon
"Iveagh Lower, Upper Half",54.4350698138,-6.230560349,Down
Philipstown Lower,53.3195579922,-7.3167563371,Offaly
Burrishoole,53.907198193,-9.7093979373,Mayo
Brawny,53.423704142,-7.9108169983,Westmeath
Corkaree,53.605556764,-7.3733877784,Westmeath
Iveragh,51.9365824587,-10.1053309982,Kerry
Ida,52.3806990846,-7.038018888,
Deece Lower,53.5363344673,-6.6746124377,Meath
Coolestown,53.2755155457,-7.1050523854,Offaly
North-West Liberties of Londonderry,55.0123224886,-7.3438985157,Londonderry
Maryborough East,53.0413318458,-7.2808301037,Laois
Lecale Upper,54.2828571539,-5.7623508823,Down
